,Judul Berita
0,"2 orang reaktif tes antigen, sman 4 batam kembali belajar daring"
1,akademisi ipb beri tips agar pembelajaran online efektif dan menarik
2,tips pembelajaran daring yang menyenangkan bagi guru dan siswa
3,seperti ini contoh pembelajaran daring yang menyenangkan
4,kemenkominfo ajak orangtua dan guru pahami psikologi anak saat pembelajaran daring
5,"cakram literasi, gim pembelajaran di tengah pjj"
6,cara menghemat kuota internet saat anak sedang pjj dengan google meet
7,"siswa dan mahasiswa, berikut 6 tips sukses belajar daring"
8,"orangtua siswa berharap ptm terbatas segera digelar, ini alasannya"
9,"para guru, mari tetap bersyukur di masa pembelajaran daring..."
10,"bina bangsa school: ""online school"" jadi pilihan pembelajaran masa depan"
11,"setahun pembelajaran daring, benarkah terjadi ""learning loss""?"
12,"demi wifi gratis, siswi ini ikut sekolah daring dari kuburan"
13,"pembelajaran di surabaya disiapkan daring dan luring, orangtua siswa tak perlu khawatir tak punya hp"
14,sekolah di kundur utara kepri kembali terapkan pembelajaran daring
15,edufecta sediakan platform pembelajaran daring untuk kampus swasta se-indonesia
16,6 tips sukses belajar daring bagi siswa dan mahasiswa
17,"agar kuliah daring lebih efektif, ini 5 tipsnya"
18,pemkot depok akan sediakan lebih dari 1.600 titik wifi gratis di setiap rw untuk belajar online
19,"agar anak tak depresi saat belajar daring, begini saran kak seto"
20,hari guru sedunia 2020: tantangan mengajar di masa pandemi covid-19
21,wapres: dosen harus keluar dari gaya konvensional dalam pembelajaran daring
22,wapres: baru ada 20 dari 4.741 perguruan tinggi yang terapkan belajar daring
23,ui tetap berlakukan pembelajaran jarak jauh pada tahun ajaran baru
24,pakar ugm: ini kendala utama pembelajaran daring di diy
25,cerita seru siswa slb di jabar saat ikut pjj
26,"khofifah khawatir kualitas pembelajaran daring untuk anak, ini alasannya"
27,seperti ini kunci pembelajaran di rumah bagi anak tk
28,menggali sisi positif kuliah daring
29,mengintip cara anak sd di desa 'miskin jaringan internet' saat pembelajaran daring
30,"ksp analisis kendala pembelajaran daring, hasilnya?"
31,"di gunungkidul, sd  wonolagi dengan 13 murid tetap belajar daring saat pandemi"
32,"kisah sd dengan murid 13 orang, tetap laksanakan pembelajaran daring di masa pandemi"
33,3 peran orangtua dampingi anak ikut pembelajaran daring
34,"tingkatkan efektivitas belajar dari rumah, kelas pintar sajikan ""sekolah"" virtual"
35,"libatkan anak dalam pekerjaan rumah tangga, ini manfaatnya"
36,"di masa pandemi, orangtua berperan dalam pendidikan karakter anak"
37,"menakar peluang pembelajaran daring efektif masuki era ""new normal"" pendidikan"
38,kemendikbud siapkan pelatihan pembelajaran daring untuk 100.000 dosen
39,panduan pembelajaran di masa covid-19 dinilai belum sentuh masalah kualitas belajar
40,pembelajaran daring dan biaya jadi tantangan pendidikan tinggi pascapandemi
41,"kisah izzan saat pembelajaran daring, guru pesantren jadi sosok ibu..."
42,"guru, ini pedoman pelaksanaan belajar dari rumah selama covid-19"
43,dirjen gtk: melek teknologi adalah hikmah covid-19
44,strategi belajar dari rumah dengan dan tanpa internet di tahun ajaran baru
45,kemdikbud: guru diimbau tak bebani anak paud dan orangtua dengan tugas
46,"""codar"", agar pembelajaran daring tidak ambyar di tengah corona"
47,"akademisi ub: ""wfh"" munculkan tekanan sosial baru, salah satunya stres"
48,covid-19 bisa jadi momentum tingkatkan kemampuan pembelajaran daring
49,akademisi ub: profesi guru tak bisa diganti teknologi di masa covid-19
50,"perkuat kompetensi guru, eduversal gelar webinar mengajar daring di hari pendidikan"
51,"hardiknas 2020, itb luncurkan lms ""edunex"" untuk dukung kuliah daring"
52,ingin belajar di rumah lebih optimal? ini 6 tips bagi siswa
53,pemerintah diminta gratiskan internet untuk pembelajaran daring
54,pemerintah diminta segera tetapkan kurikulum pembelajaran jarak jauh
55,"kpai terima 213 pengaduan pembelajaran jarak jauh, mayoritas keluhkan beratnya tugas dari guru"
56,cerita guru sekolah cikal terapkan pembelajaran daring penuh antusias
57,"anak stres belajar di rumah? ini tips dari ""sekolah lawan corona"""
58,kantor pemerintahan wfh-sekolah daring selama ktt asean
59,wali kota eri: pelajar-pekerja surabaya wfh saat puncak harlah 1 abad nu
60,sekolah di kuta dan kuta selatan siap belajar daring saat g20
61,perkantoran di kuta dan denpasar selatan terapkan wfh selama ktt g20
62,polemik aturan siswa pekanbaru boleh ikut ptm harus vaksin dulu
63,"tak punya hp, siswi mts di cianjur putus sekolah tak bisa ikuti pjj"
64,"24 siswa sman 1 tuban positif covid-19, proses belajar kembali daring"
65,"guru positif covid-19, ptm di sdn kebonsari kota pasuruan dihentikan"
66,"9 siswa positif covid-19, smk swasta di kota blitar belajar daring 2 pekan"
67,"21 siswa sman 1 bawang banjarnegara reaktif corona, ptm disetop"
68,siswa 2 sd di lamongan terpaksa belajar daring karena kelas terendam banjir
69,"sekolah man kota pasuruan kebakaran, siswa belajar daring"
70,"sidak ptm, bupati cianjur temukan siswa kelas 4 sd belum bisa baca"
71,10 provinsi dengan akses internet tertinggi & terendah untuk belajar online
72,unicef: banyak siswa harus berbagi smartphone demi belajar daring
73,"siswa di ri sulit sekolah daring, unicef rilis 16 rekomendasi belajar"
74,ortu siswa harap ptm terus dilanjutkan: belajar daring banyak kendala
75,warung kopi di atas bukit ini sediakan wifi gratis buat pelajar
76,"imbas pjj, kadisdik kuningan: ada siswa belum bisa baca-tulis"
77,"setahun pandemi, sd di solo masih pakai ht untuk belajar"
78,"asyik, kuota belajar akan cair bulan depan"
79,"59 desa di cianjur blank spot, siswa kesulitan sekolah daring"
80,"tahun ajaran baru, pelajar kembali belajar secara daring"
81,"bantuan kuota internet belajar online disetop, pemprov jatim surati mendikbud"
82,mahasiswa uny gagas relawan untuk bantu siswa yang kesulitan belajar
83,aliansi pelajar surabaya tolak belajar daring
84,"jika surabaya tunda pembelajaran tatap muka, belajar daring harus inovatif"
85,300 pelajar di lebak putus sekolah gegara tak kuat belajar daring
86,"manfaatkan waktu luang, pelajar bandung ubah kayu bekas jadi kerajinan"
87,"bri beri tips belajar mengajar daring menyenangkan, seperti apa?"
88,rumah pintar jadi solusi belajar anak-anak di desa sulit sinyal internet
89,mahasiswa uk petra bikin aplikasi atur durasi anak nge-game saat daring
90,"sekolah tatap muka di depan mata, siswa senang tapi malas bangun pagi"
91,guru sd dan smp di surabaya mulai gelar belajar daring dari sekolah
92,internet gratis untuk siswa belajar daring
93,belajar dalam serba keterbatasan
94,"bantu siswa belajar daring, pengusaha muda ini bikin konten membatik"
95,yayasan kemala bhayangkari salurkan 542 laptop untuk siswa belajar daring
96,kemdikbud hingga tvri disomasi karena tayangkan film tanpa izin
97,pks dki soroti raperda corona tak muat soal proses belajar saat pandemi
98,pelajari tata surya lebih mudah dengan aplikasi tiga dimensi
99,cara berkomunikasi efektif dengan anak selama pandemi covid-19
100,"angka pernikahan dini naik 2 kali lipat di ponorogo, gegara belajar daring?"
101,"polda papua datangi pulau kosong, ajar siswa karena tak bisa belajar daring"
102,"sebelum pasang wifi gratis, pemkab malang pastikan ketersediaan sinyal"
103,pelajar harus tahu! ini 4 tips belajar efektif dan fokus dari rumah
104,"gegara ada logo pdip, sbo tv setop live belajar daring"
105,"sila ke-4 pancasila jadi logo pdip saat belajar daring, dispendik minta maaf"
106,ratusan ribu kartu perdana untuk belajar daring didistribusikan di jatim
107,"siswa dan guru di surabaya dapat kuota internet gratis, segera input no hp"
108,"pemprov jabar akan bagikan 3,2 juta kartu kuota 10 gb gratis untuk pelajar"
109,"mobil internet bergerak, solusi belajar daring bagi siswa di pelosok"
110,"susah sinyal, pelajar di polman tempuh 1 km ke bukit untuk belajar online"
111,nadiem makarim bicara risiko menyeramkan pembelajaran jarak jauh
112,emak-emak demo dinas pendidikan jombang tuntut belajar tatap muka
113,"kuota internet gratis 1,3 juta siswa sma/smk di jatim diberikan september"
114,gubernur sumsel kumpulkan provider atasi masalah sinyal belajar daring
115,markas tni di polman 'diserbu' anak-anak yang belajar secara daring
116,asyek .. siswa di 9 smpn kota blitar dapat bantuan kuota internet
117,"dukung siswa belajar online, pemkab aceh tamiang pasang wifi gratis di masjid"
118,tni lamongan sediakan wifi gratis dukung belajar daring
119,"gegara pendidikan daring, mpr: 30% dari 86 juta siswa belum aman"
120,asyik! ada wi-fi gratis nih bagi anak sekolah di cipete
121,fx rudy akan bagi-bagi smartphone gratis ke siswa miskin di solo
122,siswi sd ini bawakan nasi jagung untuk ganjar & curhat soal banyak pr
123,mako brimob di ambon sediakan wifi gratis untuk pelajar di tengah pandemi
124,kisah seorang siswa sd rela pungut cengkeh demi kuota internet
125,iklan pornografi yang viral gegara nyelip di situs belajar daring
126,"asynchronous adalah model pembelajaran daring, kenali kelebihan dan kekurangannya"
127,tangis bapak pencuri ponsel untuk belajar daring anak pecah usai diputus bebas
